1,GPS location,Cross Section,Existing,Autogenerated,,,TRUE,FALSE,D1, nh_sh_4_lane
2,Chainage (km),Cross Section,Existing,Numerical Box,,,FALSE,FALSE,D2, nh_sh_4_lane
3,Photo/Video/Audio,Cross Section,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,D3, nh_sh_4_lane
4,Min. 60m wide Right of Way (ROW) ,Cross Section,Existing,Radio Button,IRC:SP:84-2019 Clause 2.3 A minimum Right of Way (ROW) of 60 m should be available for development of a 4-lane highway. ,,FALSE,FALSE,D4, nh_sh_4_lane
5,ROW width (m),Cross Section,Existing,Numerical Box,,If D4 = No,TRUE,FALSE,D4.1, nh_sh_4_lane
6,Min. 3.5m wide lane ,Cross Section,Existing,Radio Button,IRC:SP:84-2019  Clause 2.4 The standard lane width of project highway shall be 3.5 m.,,FALSE,FALSE,D5, nh_sh_4_lane
7,Width (m),Cross Section,Existing,Numerical Box,,If D5 = No,TRUE,FALSE,D5.1, nh_sh_4_lane
8,Carriageway width (m),Cross Section,Existing,Numerical Box,,,FALSE,FALSE,D6, nh_sh_4_lane
9,Shoulder ,Cross Section,Existing,Heading,,,FALSE,FALSE,D7, nh_sh_4_lane
10,Issues,Cross Section,Existing,Drop down,,,FALSE,FALSE,D7.1, nh_sh_4_lane
11,Type,Cross Section,Existing,Radio Button,,,FALSE,FALSE,D7.2, nh_sh_4_lane
12,Width (m),Cross Section,Existing,Numerical Box,IRC:SP:84-2019  Clause 2.6.1 Table 2.3 & 2.4 Shoulder Width ,If D7.2 = Paved,FALSE,FALSE,D7.2.1, nh_sh_4_lane
13,Width (m),Cross Section,Existing,Numerical Box,IRC:SP:84-2019  Clause 2.6.1 Table 2.3 & 2.4 Shoulder Width ,If D7.2 = Earthen,FALSE,FALSE,D7.2.2, nh_sh_4_lane
14,Drainage Issues ,Cross Section,Existing,Multiple selection; Check Box,,,FALSE,FALSE,D8, nh_sh_4_lane
15,Hazard Type,Cross Section,Existing,Multiple selection; Check Box,,,FALSE,FALSE,D9, nh_sh_4_lane
16,Embankment height > 3 m,Cross Section,Existing,Radio Button,,,FALSE,FALSE,D10, nh_sh_4_lane
17,Safety barrier ,Cross Section,Existing,Radio Button,IRC:SP:84-2019 Â Clause 9.7.1 (i)Embankment height 3 m or more shall have safety barrier at the edge of formation. The height of embankment for installation for safety barrier shall be measured from the top of finished road level to bottom level of Original Ground Level (OGL) or invert level of ditch.,If D10= Yes,TRUE,FALSE,D10.1, nh_sh_4_lane
18,End Treatment  ,Cross Section,Existing,Radio Button,IRC:SP:84-2019 Clause 9.7.2 Road side steel barriers b)End treatment for steel barrier: Fig 9.13,If D10.1= Yes,TRUE,FALSE,D10.2, nh_sh_4_lane
19,Comments,Cross Section,Existing,Text Area,,,FALSE,FALSE,D11, nh_sh_4_lane
20,Critical observation,Cross Section,Existing,Checkbox,,,FALSE,FALSE,D12, nh_sh_4_lane
21,General observation,Pavement Condition ,Existing,Checkbox,,,FALSE,FALSE,D13, nh_sh_4_lane
22,Severity ,Pavement Condition ,Existing,Dropdown,,,FALSE,FALSE,D14, nh_sh_4_lane
23,Priority ,Pavement Condition ,Existing,Dropdown,,,FALSE,FALSE,D15, nh_sh_4_lane
24,Photo/Video/Audio,Pavement Condition ,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,E3, nh_sh_4_lane
25,Type ,Pavement Condition ,Existing,Radio Button,,,FALSE,FALSE,E4, nh_sh_4_lane
26,Safety barrier ,Pavement Condition ,Existing,Radio Button,IRC:SP:84-2019  Clause 2.5.5 In the case of depressed median  metal beam type (thrie beam - one side) crash barriers or Wire rope barrier shall be provided on either side of the median,If E4= Depressed,TRUE,FALSE,E4.1, nh_sh_4_lane
27,End Treatment  ,Pavement Condition ,Existing,Radio Button,IRC:SP:84-2019 Clause 9.7.2 Road side steel barriers b)End treatment for steel barrier: Fig 9.11 & Fig 9.12,If E4.1= Yes,TRUE,FALSE,E4.1.1, nh_sh_4_lane
28,Width,Pavement Condition ,Existing,Numerical Box,IRC:SP:84-2019  Clause 2.5 Median width 5m Open country with isolated  built-up area   Approach to grade separated structures  and 2.5m for built up area  for Plain & Rolling,,FALSE,FALSE,E5, nh_sh_4_lane
29,Plantation,Pavement Condition ,Existing,Radio Button,IRC: SP:84-2019 - Clause 11.2.4 Plantation in medians 1) median width is more than 2.5 m  shrubs shall be  planted and maintained to cut-off headlight glare 2)width of median is less than 2.5 m  shrubs or flowery plants may be planted in between crash barriers or other means like metal/plastic strips shall be provided to cut off glare.,,FALSE,FALSE,E6, nh_sh_4_lane
30,Min. 1.5m height,Pavement Condition ,Existing,Radio Button,IRC: SP:84-2019  Clause 11.2.4  Flowering plants and shrubs are eminently suited for the purpose. These shall be planted either  in continuous rows or in the form of baffles. The height of shrubs shall be maintained at 1.5 m to  cut-off the effect of traffic lights coming from the opposite direction.,If E6 = Yes,TRUE,FALSE,E6.1, nh_sh_4_lane
31,Visibility obstruction,Pavement Condition ,Existing,Radio Button,IRC:SP:84-2019 - Clause 11.2.4 The shape of shrubs and plants shall be suitably regulated so that there is no overgrowth either vertically or horizontally beyond the edge of the median,If E6 = Yes,TRUE,FALSE,E6.2, nh_sh_4_lane
32,Antiglare sheets ,Pavement Condition ,Existing,Radio Button,"IRC:SP:84-2019 - Clause 2.5.6 The median in built up area shall be paved. In such locations  crash barriers and 
suitable antiglare measures such as plastic screens shall be provided at the center of median 
to reduce headlight glare from opposite traffic. The total height of screen including the height 
of the barrier shall be 1.5 m and spacing shall be such as to effectively cut the glare.",If E6 = No,TRUE,FALSE,E6.3, nh_sh_4_lane
33,Issues,Curves,Existing,Multiple selection; Check Box,,If E6.3 = Yes,FALSE,FALSE,E6.3.1, nh_sh_4_lane
34,Openings,Curves,Existing,Radio Button,,,FALSE,FALSE,E7, nh_sh_4_lane
35,VRU Facilities ,Curves,Existing,Radio Button,,If E7 = Yes Pop up section K,TRUE,FALSE,E7.1, nh_sh_4_lane
36,Median opening length,Curves,Existing,Numerical Box,IRC:SP:84-2019 Clause 2.14.4 Length of median opening shall be 18 to 20 m only. Length of median openings can  be more than 20 m in case of median opening without storage lane  to serve as neutral place for  small vehicles to wait. ,If E7 = Yes,TRUE,FALSE,E7.2, nh_sh_4_lane
37,Shelter lane ,Curves,Existing,Radio Button,IRC:SP:84-2019 Clause  2.14.3 All median openings shall be provided with additional 3.5 m wide shelter lane by the side of median in both directions for waiting of vehicles to take U-turn. Wherever required  horizontal geometries of the road shall be suitably adjusted.,If E7 = Yes,TRUE,FALSE,E7.3, nh_sh_4_lane
38,120-meter clear visibility prior to the median opening,Curves,Existing,Radio Button,IRC:SP:84-2019 Clause 2.14.4 All plantations and objects in the median for at least 120 m from median  tip shall be removed to ensure the visibility between approaching vehicle and that waiting/turning  at median openings,If E7 = Yes,TRUE,FALSE,E7.4, nh_sh_4_lane
39,Prior Signboard,Curves,Existing,,,If E7 = Yes Pop up section H,TRUE,FALSE,E7.5, nh_sh_4_lane
40,Blinkers,Curves,Existing,Radio Button,,,TRUE,FALSE,E7.6, nh_sh_4_lane
41,Issues,Curves,Existing,Multiple selection; Check Box,,If E7.6= Yes,FALSE,FALSE,E7.6.1, nh_sh_4_lane
42,Inadequate distance b/w two median openings,Curves,Existing,Radio Button,,,FALSE,FALSE,E8, nh_sh_4_lane
43,Distance,Curves,Existing,Numerical Box,,If E8 = Yes,TRUE,FALSE,E8.1, nh_sh_4_lane
44,Road Delineator Issues,Curves,Existing,Multiple selection; Check Box,,,FALSE,FALSE,E9, nh_sh_4_lane
45,Missing type,Curves,Existing,Multiple selection; Check Box,,If E9 = Missing,TRUE,FALSE,E9.1, nh_sh_4_lane
46,Unauthorized opening ,Road Markings,Existing,Radio Button,,,FALSE,FALSE,E10, nh_sh_4_lane
47,Comments,Road Markings,Existing,Text Area,,,FALSE,FALSE,E11, nh_sh_4_lane
48,Critical observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,E12, nh_sh_4_lane
49,General observation,Road Markings,Existing,Checkbox,,,FALSE,FALSE,E13, nh_sh_4_lane
50,Severity ,Road Markings,Existing,Dropdown,,,FALSE,FALSE,E14, nh_sh_4_lane
51,Priority ,Road Markings,Existing,Dropdown,,,FALSE,FALSE,E15, nh_sh_4_lane
52,GPS Location,Road Markings,Existing,Autogenerated,,,TRUE,FALSE,F1, nh_sh_4_lane
53,Photo/Video/Audio,Road Markings,Existing,Camera/ Upload,,Must have an option for taking photos/recording the video/recording audio in the field as well as  uploading the photo/video/audio recording from the device folder  Option for adding multiple photos should be there,TRUE,FALSE,F3, nh_sh_4_lane
